Income,Gender,Age,AgeRange,PoliticalAffiliation ,ApproveTrump,education,race,AgreeWhiteNationalists,RepublicansAgreeWhiteNationalists,Would you say that you love America?,DemocratsLoveAmerica,GovHelpPoor,WhitePeopleRacist,CivilWarNextDecade,hunting,kalesalad,VoteTheRockPres,VaderOrTrump
255000,Female,40,35-44,DK/REF,Disapprove,College degree,White,Disagree,50,Yes,,DK/REF,No,Unlikely,No,No,DK/REF,Donald Trump
31000,Female,50,45-54,Strong Republican,Approve,High school,White,Disagree,,Yes,50,Yes,No,Likely,No,No,No,Donald Trump
30000,Male,58,55-64,Strong Democrat,Disapprove,Graduate degree,White,Disagree,20,Yes,100,Yes,No,Unlikely,No,Yes,Yes,Darth Vader
37000,Male,58,55-64,Not Strong Republican,Approve,Some college,White,Disagree,,Yes,,Yes,No,Unlikely,Yes,DK/REF,DK/REF,Donald Trump
18000,Female,27,25-34,DK/REF,Disapprove,High school,White,Agree,50,No,70,Yes,No,Likely,No,No,Yes,Donald Trump
39000,Female,47,45-54,Strong Democrat,Disapprove,College degree,Black,Disagree,55,Yes,95,Yes,No,Unlikely,No,Yes,DK/REF,Darth Vader
34000,Female,36,35-44,Independent,Disapprove,Some college,White,Disagree,40,Yes,80,Yes,No,Unlikely,No,Yes,No,Darth Vader
12000,Male,59,55-64,Independent,Disapprove,High school,White,Disagree,50,Yes,90,Yes,No,DK/REF,Yes,Yes,No,DK/REF
173000,Male,40,35-44,Independent,Disapprove,College degree,White,Disagree,0,Yes,90,Yes,No,Unlikely,No,Yes,No,DK/REF
38000,Female,38,35-44,Not Strong Democrat,Disapprove,High school,White,Disagree,20,Yes,100,Yes,No,Likely,Yes,Yes,DK/REF,Donald Trump
67000,Male,35,35-44,Strong Republican,Approve,College degree,White,Disagree,20,Yes,20,Yes,No,Unlikely,No,No,No,Donald Trump
21000,Other,35,35-44,Independent,Disapprove,Some college,White,Disagree,60,Yes,60,No,No,Unlikely,No,Yes,DK/REF,Darth Vader
92000,Female,61,55-64,Independent,Approve,Some college,White,DK/REF,,Yes,,Yes,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
248000,Female,48,45-54,Not Strong Democrat,Approve,College degree,White,Disagree,5,Yes,90,Yes,No,Unlikely,No,Yes,DK/REF,Donald Trump
95000,Female,40,35-44,DK/REF,DK/REF,College degree,White,DK/REF,,Yes,100,DK/REF,DK/REF,DK/REF,No,No,DK/REF,DK/REF
31000,Female,44,35-44,Independent,Disapprove,Some college,Black,Disagree,80,Yes,50,Yes,No,Unlikely,No,No,No,DK/REF
21000,Male,37,35-44,Strong Republican,Approve,College degree,White,Disagree,10,Yes,100,No,No,Likely,Yes,No,No,Donald Trump
30000,Female,56,55-64,Independent,Disapprove,Graduate degree,White,Disagree,,Yes,,Yes,No,Likely,No,No,No,Darth Vader
109000,Female,68,65+,DK/REF,Disapprove,High school,Black,DK/REF,,Yes,,No,DK/REF,Likely,Yes,No,No,DK/REF
111000,Female,54,45-54,Strong Republican,Approve,Some college,White,DK/REF,70,No,80,No,No,Unlikely,Yes,Yes,No,Donald Trump
47000,Female,76,65+,Strong Democrat,Approve,College degree,White,Disagree,0,Yes,100,Yes,No,Unlikely,No,No,Yes,DK/REF
,Female,51,45-54,Independent,Disapprove,College degree,Black,Disagree,70,Yes,50,Yes,No,Unlikely,No,No,DK/REF,Darth Vader
,Female,58,55-64,Independent,Disapprove,Some college,White,Disagree,40,Yes,60,Yes,No,Unlikely,No,Yes,No,Darth Vader
,Male,60,55-64,Strong Republican,Approve,College degree,White,Disagree,0,Yes,100,Yes,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Female,51,45-54,Independent,DK/REF,High school,White,DK/REF,,Yes,,Yes,No,Unlikely,No,Yes,No,DK/REF
,Female,30,25-34,Independent,Disapprove,Some college,White,Agree,80,Yes,87,Yes,Yes,Likely,No,Yes,Yes,Darth Vader
,Male,76,65+,Not Strong Republican,Approve,High school,White,DK/REF,,Yes,25,Yes,No,Likely,Yes,Yes,No,Donald Trump
,Male,30,25-34,Strong Democrat,Disapprove,Graduate degree,White,Disagree,50,Yes,95,Yes,No,Unlikely,Yes,No,No,Darth Vader
,Male,20,18-24,Independent,Disapprove,Some college,White,Agree,35,Yes,75,Yes,No,Unlikely,Yes,Yes,Yes,Donald Trump
,Female,46,45-54,Not Strong Democrat,Disapprove,College degree,White,Disagree,5,Yes,100,Yes,No,Unlikely,No,No,No,Donald Trump
,Female,26,25-34,Independent,Disapprove,High school,White,Disagree,5,Yes,100,Yes,No,Likely,Yes,No,No,Darth Vader
,Female,45,45-54,Strong Democrat,Disapprove,High school,White,Disagree,50,Yes,75,Yes,No,Unlikely,Yes,Yes,DK/REF,DK/REF
,Female,72,65+,Strong Democrat,Disapprove,High school,White,DK/REF,,Yes,75,No,Yes,Likely,No,No,Yes,Donald Trump
,Male,21,18-24,Strong Democrat,Disapprove,Some college,White,Disagree,10,Yes,70,Yes,No,Unlikely,No,Yes,No,Donald Trump
,Female,28,25-34,Not Strong Democrat,Approve,Some college,White,DK/REF,50,Yes,90,Yes,No,Likely,Yes,No,DK/REF,Donald Trump
,Male,67,65+,Not Strong Republican,Approve,Some college,White,DK/REF,50,Yes,60,Yes,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,70,65+,Strong Republican,Approve,Some college,White,DK/REF,60,Yes,100,No,No,Likely,Yes,No,Yes,Donald Trump
,Female,35,35-44,Strong Republican,Approve,Graduate degree,Other,Disagree,1,Yes,20,Yes,No,Unlikely,No,Yes,Yes,Donald Trump
,Female,50,45-54,Strong Republican,Approve,College degree,Other,DK/REF,5,Yes,50,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,50,45-54,Not Strong Republican,Disapprove,Graduate degree,White,Agree,55,Yes,89,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,78,65+,Strong Republican,Approve,Some college,White,DK/REF,1,Yes,20,Yes,No,Likely,Yes,No,No,Donald Trump
,Female,45,45-54,Independent,Disapprove,College degree,White,Disagree,60,Yes,100,Yes,Yes,Unlikely,No,Yes,No,Darth Vader
,Male,37,35-44,Not Strong Republican,Approve,College degree,White,Disagree,0,Yes,50,No,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Female,53,45-54,Not Strong Democrat,Approve,High school,White,Disagree,50,Yes,100,Yes,Yes,Likely,No,No,No,Donald Trump
,Male,49,45-54,Not Strong Democrat,Disapprove,High school,Latino,Disagree,50,Yes,80,Yes,No,Unlikely,Yes,No,No,Donald Trump
,Other,25,25-34,DK/REF,Disapprove,Some college,White,Disagree,90,Yes,100,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,78,65+,Strong Republican,Approve,Graduate degree,White,Disagree,10,Yes,75,No,No,Unlikely,No,No,No,DK/REF
,Female,71,65+,Independent,Approve,High school,Other,Agree,,Yes,100,Yes,Yes,Likely,No,No,No,DK/REF
,Male,58,55-64,Independent,Approve,High school,Latino,Disagree,50,Yes,,Yes,No,Unlikely,No,No,No,Donald Trump
153000,Female,34,25-34,Not Strong Republican,Approve,Graduate degree,White,Disagree,12,Yes,70,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
7000,Male,59,55-64,Strong Democrat,Disapprove,High school,Latino,Disagree,1,Yes,1,Yes,Yes,Unlikely,Yes,No,No,Darth Vader
32000,Female,63,55-64,Strong Democrat,Disapprove,College degree,White,DK/REF,,Yes,100,Yes,No,Unlikely,No,No,DK/REF,DK/REF
15000,Female,67,65+,DK/REF,Disapprove,High school,Black,Disagree,,Yes,,Yes,No,DK/REF,No,No,DK/REF,DK/REF
100000,Female,42,35-44,Strong Democrat,Disapprove,Some college,Black,Disagree,40,Yes,50,Yes,No,Likely,Yes,Yes,Yes,Darth Vader
12000,Male,73,65+,Independent,Disapprove,College degree,Latino,Agree,75,Yes,100,Yes,No,Likely,No,Yes,No,DK/REF
18000,Male,47,45-54,Independent,Approve,High school,White,Disagree,10,Yes,100,No,No,Unlikely,Yes,No,No,Donald Trump
9000,DK/REF,76,65+,Independent,Disapprove,High school,Black,Disagree,,Yes,1,No,No,DK/REF,No,No,DK/REF,DK/REF
9000,Female,44,35-44,Strong Republican,Approve,Some college,White,DK/REF,0,Yes,,Yes,No,Unlikely,No,No,No,Donald Trump
34000,Male,72,65+,Not Strong Democrat,Approve,High school,White,Agree,,Yes,80,No,No,Unlikely,No,No,No,Donald Trump
123000,Female,34,25-34,Strong Democrat,Disapprove,Graduate degree,White,Disagree,30,Yes,95,Yes,Yes,Unlikely,No,No,No,Darth Vader
77000,Female,65,65+,Not Strong Democrat,DK/REF,High school,Black,Disagree,8,Yes,9,No,Yes,Likely,No,No,DK/REF,Donald Trump
53000,Female,69,65+,Not Strong Republican,Disapprove,Some college,White,Disagree,10,Yes,90,Yes,No,Unlikely,No,No,DK/REF,Donald Trump
12000,Female,44,35-44,Independent,Disapprove,College degree,White,Disagree,75,Yes,90,Yes,No,Unlikely,No,No,No,Donald Trump
58000,Female,85,65+,Independent,DK/REF,Some college,White,DK/REF,,Yes,95,Yes,No,DK/REF,Yes,DK/REF,DK/REF,DK/REF
5000,Female,30,25-34,Independent,Approve,High school,White,DK/REF,60,Yes,90,Yes,No,Likely,No,No,No,Donald Trump
63000,Male,64,55-64,Strong Democrat,Disapprove,High school,White,Agree,0,Yes,100,Yes,No,Likely,Yes,Yes,Yes,Darth Vader
52000,Female,38,35-44,Strong Democrat,Disapprove,College degree,White,Disagree,30,Yes,80,Yes,Yes,Likely,No,No,No,Darth Vader
130000,Male,45,45-54,Strong Republican,Approve,Graduate degree,White,DK/REF,,Yes,0,DK/REF,No,Unlikely,Yes,No,No,Donald Trump
,Female,52,45-54,Strong Republican,Approve,College degree,DK/REF,Disagree,10,Yes,40,Yes,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,49,45-54,Independent,Disapprove,Graduate degree,White,Disagree,20,Yes,90,Yes,No,Unlikely,No,Yes,No,Donald Trump
,Female,73,65+,Strong Democrat,Approve,High school,White,Disagree,,Yes,,Yes,DK/REF,Likely,No,No,DK/REF,Donald Trump
,Male,44,35-44,Independent,Disapprove,College degree,Black,Disagree,2,Yes,85,Yes,Yes,Unlikely,Yes,Yes,DK/REF,Darth Vader
,Female,44,35-44,Independent,Disapprove,College degree,White,Disagree,75,Yes,100,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,71,65+,Strong Democrat,Disapprove,Some college,White,Disagree,,Yes,95,Yes,No,Unlikely,Yes,Yes,DK/REF,DK/REF
,Male,48,45-54,Strong Republican,Approve,Some college,White,DK/REF,,Yes,100,No,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,42,35-44,DK/REF,Approve,College degree,White,Disagree,10,Yes,95,Yes,No,Unlikely,No,Yes,No,Donald Trump
,Male,48,45-54,Not Strong Republican,Approve,Some college,Other,Disagree,10,Yes,90,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,62,55-64,Independent,Approve,Other,White,DK/REF,,Yes,100,Yes,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,34,25-34,Independent,Approve,Some college,DK/REF,Disagree,26,Yes,100,Yes,No,Likely,Yes,No,Yes,Darth Vader
,Male,54,45-54,DK/REF,Approve,Graduate degree,Latino,Disagree,10,Yes,25,No,No,Unlikely,No,Yes,No,Donald Trump
,Female,70,65+,Strong Democrat,Disapprove,College degree,White,Disagree,40,Yes,100,Yes,No,Unlikely,No,Yes,DK/REF,Darth Vader
,Male,61,55-64,Not Strong Republican,DK/REF,Graduate degree,Black,Disagree,0,Yes,90,Yes,No,Unlikely,No,No,No,Donald Trump
61000,Male,38,35-44,Strong Democrat,Approve,High school,White,Agree,5,Yes,10,Yes,Yes,Likely,No,No,Yes,Darth Vader
89000,Male,38,35-44,Independent,Disapprove,High school,White,Disagree,45,Yes,75,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
24000,Female,40,35-44,Independent,Disapprove,College degree,Black,Disagree,50,No,50,Yes,No,Likely,No,Yes,Yes,Darth Vader
118000,Female,37,35-44,Strong Republican,Approve,College degree,White,Disagree,50,Yes,100,Yes,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
21000,Female,61,55-64,Independent,Disapprove,Some college,White,Disagree,,Yes,100,Yes,No,Likely,No,Yes,DK/REF,Darth Vader
25000,Female,61,55-64,Strong Republican,Approve,High school,White,Disagree,0,Yes,30,No,No,Unlikely,No,No,No,Donald Trump
7000,Male,72,65+,Strong Republican,DK/REF,High school,White,DK/REF,,Yes,100,Yes,Yes,Unlikely,No,No,No,DK/REF
19000,Male,39,35-44,Strong Democrat,Disapprove,College degree,White,Disagree,40,Yes,95,Yes,No,Likely,Yes,Yes,Yes,Darth Vader
5000,Female,35,35-44,Strong Democrat,Disapprove,Some college,Black,Agree,100,Yes,100,Yes,No,Likely,No,No,Yes,Darth Vader
278000,Female,37,35-44,Not Strong Democrat,DK/REF,Graduate degree,Latino,Disagree,40,Yes,40,DK/REF,No,Unlikely,Yes,Yes,DK/REF,DK/REF
106000,Female,43,35-44,Not Strong Democrat,Approve,College degree,White,Disagree,75,Yes,75,Yes,No,Unlikely,No,Yes,DK/REF,DK/REF
10000,Female,58,55-64,Independent,Disapprove,High school,Other,Disagree,3,Yes,100,Yes,Yes,Likely,No,No,No,Darth Vader
9000,Female,80,65+,Strong Democrat,DK/REF,Other,Black,DK/REF,,Yes,,Yes,Yes,DK/REF,No,Yes,DK/REF,DK/REF
36000,Female,18,18-24,Independent,Disapprove,Some college,Latino,Disagree,0,Yes,50,Yes,Yes,Likely,No,No,No,DK/REF
23000,Male,35,35-44,Independent,Approve,College degree,Other,Disagree,1,Yes,50,Yes,No,Unlikely,Yes,DK/REF,No,Donald Trump
,Female,40,35-44,Strong Democrat,DK/REF,College degree,Black,Disagree,,Yes,,Yes,No,DK/REF,No,No,DK/REF,DK/REF
,Female,46,45-54,Strong Democrat,Disapprove,College degree,White,Disagree,30,Yes,70,Yes,Yes,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,69,65+,Strong Democrat,DK/REF,Some college,Black,Disagree,,Yes,75,Yes,No,Unlikely,No,Yes,Yes,Donald Trump
,Female,57,55-64,Strong Republican,Approve,Some college,White,Agree,30,Yes,60,Yes,No,Unlikely,No,No,Yes,Donald Trump
,Female,72,65+,Independent,Disapprove,Graduate degree,White,Disagree,60,Yes,95,Yes,No,Likely,No,No,DK/REF,DK/REF
,Male,22,18-24,Not Strong Republican,Disapprove,Some college,Asian,Disagree,20,No,80,Yes,No,Unlikely,No,Yes,No,Darth Vader
,Male,66,65+,Not Strong Republican,Approve,College degree,White,Disagree,80,Yes,50,Yes,No,Unlikely,Yes,No,No,Donald Trump
,Male,55,55-64,Strong Republican,Approve,College degree,White,Agree,50,Yes,50,Yes,No,Unlikely,Yes,DK/REF,No,Donald Trump
,Female,32,25-34,Strong Democrat,Disapprove,College degree,White,Disagree,50,Yes,100,Yes,No,Likely,Yes,Yes,No,Darth Vader
,Male,34,25-34,Not Strong Democrat,Disapprove,High school,Latino,Agree,7,Yes,7,Yes,No,Likely,No,DK/REF,DK/REF,Darth Vader
,Female,31,25-34,Strong Democrat,Disapprove,Some college,Black,Disagree,75,Yes,90,Yes,No,Likely,No,No,Yes,Darth Vader
,Female,67,65+,Strong Republican,Approve,Graduate degree,White,DK/REF,,Yes,20,No,No,Unlikely,Yes,DK/REF,No,Donald Trump
,Male,23,18-24,Not Strong Republican,Disapprove,Some college,White,Disagree,75,Yes,90,Yes,Yes,Likely,Yes,No,No,Darth Vader
