Income,Gender,Age,Age Range,Political Affiliation ,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,Q6OTH1,What is your race?,Q5OTH1,"From what you have heard or seen, do you mostly agree or mostly disagree with the beliefs of White Nationalists?","If you had to guess, what percentage of Republicans would say that they mostly agree with the beliefs of White Nationalists?",q8x,Would you say that you love America?,"If you had to guess, what percentage of Democrats would say that they love America?",q10x,Do you think that government policies should help those who are poor and struggling in America?,"If you had to guess, what percentage of Republicans would say yes to that question?",Do you think that most white people in America are racist?,"If you had to guess, what percentage of Democrats would say yes to that question?",Have you lost any friendships or other relationships as a result of the 2016 presidential election?,Do you think it is likely or unlikely that there will be a Civil War in the United States within the next decade?,Have you ever gone hunting?,Have you ever eaten a kale salad?,"If Dwayne ""The Rock"" Johnson ran for president as a candidate for your political party, would you vote for him?","Who would you prefer as president of the United States, Darth Vader or Donald Trump?"
77000,Female,33,25-34,Not Strong Republican,DK/REF,College degree,,DK/REF,,Disagree,70,,Yes,100,,Yes,40,No,35,No,Unlikely,No,Yes,DK/REF,Darth Vader
146000,Male,39,35-44,Independent,Disapprove,Graduate degree,,Other,Arab American,Disagree,10,,Yes,100,,Yes,50,Yes,20,No,Unlikely,No,Yes,Yes,Donald Trump
40000,Female,61,55-64,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,,DK/REF,Yes,100,,Yes,,No,10,No,Unlikely,Yes,No,DK/REF,DK/REF
105000,Male,38,35-44,Strong Democrat,DK/REF,College degree,,White,,DK/REF,,DK/REF,Yes,,DK/REF,No,0,No,,No,Likely,No,No,DK/REF,DK/REF
80000,Male,78,65+,Strong Democrat,Approve,College degree,,White,,Disagree,,DK/REF,Yes,100,,Yes,,No,,No,Unlikely,Yes,DK/REF,Yes,Donald Trump
49000,Female,46,45-54,Strong Democrat,Disapprove,College degree,,Black,,Disagree,50,,Yes,99,,Yes,99,Yes,99,No,Likely,No,No,Yes,DK/REF
87000,Male,44,35-44,Independent,Approve,College degree,,White,,Agree,50,,Yes,50,,Yes,20,Yes,0,No,Unlikely,Yes,Yes,No,Donald Trump
137000,Other,90,65+,Independent,Disapprove,College degree,,DK/REF,,Disagree,50,,Yes,75,,Yes,50,No,30,Yes,Unlikely,No,No,No,DK/REF
62000,Female,64,55-64,Independent,DK/REF,Graduate degree,,White,,Disagree,50,,Yes,85,,Yes,95,Yes,95,No,Unlikely,No,Yes,DK/REF,Donald Trump
55000,Female,44,35-44,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,10,,Yes,100,,Yes,10,No,20,No,Unlikely,Yes,Yes,Yes,Darth Vader
191000,Male,41,35-44,Independent,Disapprove,Graduate degree,,White,,Disagree,30,,No,70,,Yes,10,No,30,Yes,Unlikely,No,Yes,No,DK/REF
24000,Male,47,45-54,Not Strong Republican,Approve,Some college,,White,,Disagree,5,,Yes,50,,Yes,80,No,80,Yes,Likely,Yes,No,Yes,Donald Trump
70000,Female,37,35-44,Strong Democrat,Disapprove,Some college,,Black,,Disagree,75,,Yes,90,,Yes,60,No,50,No,Likely,No,Yes,No,DK/REF
85000,Male,18,18-24,DK/REF,Approve,Graduate degree,,DK/REF,,Disagree,2,,Yes,30,,Yes,90,No,80,No,Unlikely,No,Yes,No,Donald Trump
42000,Female,83,65+,Independent,Disapprove,High school,,Black,,Disagree,0,,Yes,0,,Yes,0,Yes,0,No,Likely,No,No,No,Darth Vader
401000,Male,39,35-44,Strong Republican,Approve,Graduate degree,,White,,Disagree,1,,Yes,70,,Yes,100,No,70,No,Unlikely,Yes,DK/REF,DK/REF,Donald Trump
135000,Male,70,65+,Strong Republican,Approve,Graduate degree,,DK/REF,,Disagree,100,,Yes,20,,No,50,No,80,No,Likely,No,DK/REF,No,Donald Trump
46000,Male,37,35-44,Strong Democrat,Approve,High school,,White,,Agree,50,,Yes,100,,No,20,No,30,No,Likely,Yes,No,No,Donald Trump
26000,Female,34,25-34,Independent,Disapprove,High school,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Likely,No,No,Yes,Darth Vader
156000,Female,43,35-44,Strong Republican,Approve,Some college,,White,,Disagree,0,,Yes,95,,Yes,95,No,0,Yes,Unlikely,No,Yes,No,Donald Trump
118000,Female,45,45-54,Not Strong Republican,Approve,Other,Postgraduate,Latino,,Disagree,20,,Yes,90,,Yes,40,Yes,100,No,Likely,Yes,No,No,Donald Trump
141000,Other,40,35-44,DK/REF,Approve,College degree,,DK/REF,,Disagree,0,,Yes,20,,Yes,100,No,50,No,Unlikely,Yes,Yes,No,Donald Trump
27000,Male,34,25-34,Independent,Approve,Some college,,White,,Disagree,,DK/REF,Yes,100,,Yes,100,No,100,No,Unlikely,Yes,No,No,Donald Trump
75000,Other,20,18-24,DK/REF,DK/REF,Other,Grade school,White,,DK/REF,10,,Yes,99,,Yes,25,DK/REF,25,No,Unlikely,Yes,Yes,No,DK/REF
39000,Male,41,35-44,Strong Republican,Approve,Graduate degree,,White,,Disagree,23,,Yes,77,,Yes,80,No,95,No,Unlikely,No,No,No,Donald Trump
15000,Female,51,45-54,Strong Democrat,Disapprove,High school,,Black,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Unlikely,No,Yes,No,DK/REF
18000,Male,24,18-24,DK/REF,Approve,High school,,White,,DK/REF,,DK/REF,Yes,70,,No,90,No,90,No,Unlikely,Yes,DK/REF,Yes,Donald Trump
16000,Male,23,18-24,Independent,Disapprove,Some college,,White,,Disagree,5,,Yes,65,,Yes,20,Yes,30,No,Likely,Yes,Yes,Yes,Darth Vader
,Female,39,35-44,DK/REF,Disapprove,Graduate degree,,Asian,,Agree,,DK/REF,Yes,50,,Yes,60,No,60,No,Unlikely,No,No,No,Darth Vader
,Male,55,55-64,DK/REF,DK/REF,Other,Elementary,Asian,,DK/REF,,DK/REF,Yes,,DK/REF,DK/REF,,Yes,,Yes,Unlikely,No,No,Yes,DK/REF
,Male,66,65+,Independent,Disapprove,High school,,White,,Disagree,0,,Yes,10,,Yes,5,No,12,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Male,74,65+,Strong Democrat,Disapprove,High school,,Black,,Agree,70,,Yes,80,,No,70,No,80,No,Likely,Yes,Yes,No,Donald Trump
,Male,37,35-44,DK/REF,DK/REF,College degree,,Asian,,DK/REF,60,,Yes,80,,Yes,50,No,,No,Unlikely,No,DK/REF,DK/REF,DK/REF
,Male,58,55-64,Strong Republican,Approve,High school,,White,,DK/REF,,DK/REF,Yes,100,,Yes,90,No,50,No,Unlikely,No,No,No,Donald Trump
,Male,66,65+,Strong Republican,Approve,Some college,,White,,Disagree,,DK/REF,Yes,75,,Yes,75,No,40,No,Unlikely,Yes,No,DK/REF,Donald Trump
,DK/REF,40,35-44,Strong Republican,Approve,College degree,,White,,Agree,,DK/REF,Yes,50,,No,40,No,80,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,67,65+,Independent,Approve,High school,,White,,DK/REF,10,,Yes,25,,Yes,100,No,50,Yes,Likely,No,No,No,Donald Trump
,Female,20,18-24,Not Strong Republican,Disapprove,High school,,White,,Disagree,40,,Yes,94,,Yes,62,No,55,No,Likely,No,No,Yes,Darth Vader
,Female,25,25-34,Independent,Disapprove,Some college,,White,,DK/REF,,DK/REF,Yes,75,,Yes,10,No,10,No,Unlikely,Yes,No,No,Donald Trump
,Female,50,45-54,Strong Republican,Approve,College degree,,White,,DK/REF,,DK/REF,Yes,80,,No,30,No,40,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,45,45-54,Independent,Disapprove,Graduate degree,,White,,Disagree,60,,Yes,100,,Yes,10,Yes,25,Yes,Unlikely,No,No,No,Darth Vader
,Male,60,55-64,Independent,Disapprove,Some college,,Other,Hispanic,Disagree,60,,Yes,100,,Yes,30,No,50,No,Likely,Yes,No,No,Darth Vader
,Male,24,18-24,DK/REF,DK/REF,High school,,Other,Pacific Islander,DK/REF,75,,No,75,,Yes,25,Yes,25,No,Likely,No,No,No,Donald Trump
,Male,46,45-54,Not Strong Democrat,Disapprove,Some college,,Black,,Disagree,10,,Yes,100,,No,80,No,10,No,Unlikely,No,Yes,No,Donald Trump
,Male,29,25-34,Strong Republican,Approve,College degree,,White,,DK/REF,,DK/REF,Yes,0,,No,100,No,100,Yes,Unlikely,No,No,No,Donald Trump
,Female,22,18-24,Independent,Disapprove,High school,,Latino,,Agree,60,,Yes,70,,Yes,40,No,55,No,Likely,No,Yes,No,Darth Vader
,Female,35,35-44,Independent,Approve,High school,,White,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Likely,Yes,Yes,No,Donald Trump
,Female,19,18-24,Not Strong Republican,Approve,Some college,,Other,Hispanic,Disagree,60,,Yes,30,,Yes,50,No,60,No,Likely,No,No,No,Donald Trump
,Other,24,18-24,DK/REF,Disapprove,College degree,,DK/REF,,Disagree,50,,Yes,99,,Yes,0,No,25,No,Unlikely,Yes,No,No,Darth Vader
,Female,75,65+,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,60,,Yes,100,,Yes,50,No,,Yes,Unlikely,Yes,No,DK/REF,DK/REF
,Female,59,55-64,Independent,Disapprove,High school,,White,,Disagree,25,,Yes,100,,Yes,50,No,5,No,Unlikely,No,No,No,Donald Trump
,Male,25,25-34,DK/REF,Approve,Some college,,Other,Mexican American,DK/REF,,DK/REF,Yes,100,,Yes,100,No,90,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,46,45-54,Independent,DK/REF,Graduate degree,,White,,Disagree,10,,Yes,99,,Yes,50,No,50,No,Unlikely,No,Yes,Yes,Donald Trump
,Male,66,65+,DK/REF,Approve,Some college,,White,,Disagree,0,,Yes,100,,Yes,90,No,90,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,61,55-64,Strong Republican,Disapprove,Graduate degree,,White,,Disagree,,DK/REF,Yes,100,,Yes,100,No,,No,Unlikely,No,Yes,No,DK/REF
,Female,53,45-54,Independent,Disapprove,Some college,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,Yes,,No,Likely,Yes,No,Yes,Darth Vader
,Female,48,45-54,DK/REF,DK/REF,Other,Lower than high school,Latino,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,Yes,50,DK/REF,Likely,No,No,DK/REF,Donald Trump
,Female,55,55-64,Strong Democrat,Disapprove,Some college,,Black,,Disagree,65,,Yes,90,,No,100,No,40,No,Likely,No,Yes,No,Darth Vader
,Male,67,65+,Strong Democrat,Disapprove,College degree,,White,,Disagree,20,,Yes,100,,Yes,35,No,15,No,Unlikely,No,Yes,DK/REF,Donald Trump
150000,Female,35,35-44,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,10,,Yes,75,,Yes,50,No,90,No,Unlikely,Yes,Yes,Yes,Darth Vader
78000,Male,50,45-54,Strong Democrat,Disapprove,Graduate degree,,Black,,Disagree,60,,Yes,90,,Yes,10,Yes,80,No,Unlikely,No,No,Yes,DK/REF
53000,Female,76,65+,Strong Democrat,Disapprove,Some college,,Black,,Disagree,60,,Yes,100,,Yes,10,No,60,No,Unlikely,No,No,No,DK/REF
60000,Female,70,65+,Not Strong Republican,Approve,High school,,Black,,Agree,50,,Yes,100,,Yes,50,No,10,No,Unlikely,No,Yes,DK/REF,Donald Trump
51000,Male,40,35-44,DK/REF,Approve,College degree,,Black,,Disagree,0,,Yes,100,,Yes,50,No,20,No,Unlikely,No,No,Yes,Donald Trump
137000,Male,40,35-44,Independent,Disapprove,Graduate degree,,White,,Disagree,5,,Yes,90,,Yes,50,No,20,No,Unlikely,No,No,Yes,Donald Trump
126000,Male,42,35-44,Independent,Disapprove,College degree,,DK/REF,,Disagree,,DK/REF,No,,DK/REF,Yes,,Yes,70,No,Unlikely,No,No,DK/REF,DK/REF
22000,Male,48,45-54,Independent,Approve,High school,,White,,Agree,10,,Yes,100,,Yes,5,No,2,No,Unlikely,Yes,No,No,Donald Trump
45000,Male,45,45-54,Independent,Disapprove,Some college,,Other,Native American,Disagree,5,,Yes,85,,Yes,90,No,10,No,Unlikely,Yes,Yes,Yes,Darth Vader
33000,Male,83,65+,Strong Democrat,Disapprove,High school,,Black,,Disagree,80,,Yes,80,,Yes,40,No,80,No,Likely,No,No,No,DK/REF
129000,Male,38,35-44,Not Strong Republican,Disapprove,Graduate degree,,White,,Disagree,10,,Yes,50,,Yes,50,No,30,No,Unlikely,No,Yes,No,Donald Trump
28000,Female,53,45-54,Strong Democrat,Disapprove,College degree,,Black,,Disagree,100,,Yes,86,,Yes,0,Yes,100,Yes,Likely,No,No,DK/REF,Darth Vader
21000,Male,41,35-44,Strong Republican,Approve,High school,,White,,Disagree,20,,Yes,40,,Yes,60,No,70,No,Unlikely,Yes,No,Yes,Donald Trump
30000,Female,74,65+,Independent,DK/REF,High school,,Latino,,Disagree,,DK/REF,Yes,5,,Yes,4,DK/REF,5,No,Unlikely,No,Yes,No,DK/REF
,Male,73,65+,Not Strong Republican,Approve,Graduate degree,,White,,Disagree,1,,Yes,50,,Yes,90,No,50,Yes,Unlikely,Yes,Yes,No,DK/REF
,Female,27,25-34,Independent,Approve,Some college,,Black,,DK/REF,75,,Yes,75,,Yes,100,No,75,No,Unlikely,Yes,Yes,Yes,Donald Trump
,Female,49,45-54,Independent,Disapprove,College degree,,White,,Disagree,20,,Yes,90,,Yes,20,No,25,Yes,Unlikely,Yes,Yes,No,DK/REF
,Male,62,55-64,Independent,Approve,Some college,,White,,Disagree,75,,Yes,80,,Yes,70,No,50,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,21,18-24,Independent,Disapprove,Some college,,Latino,,Disagree,40,,Yes,60,,Yes,30,No,50,Yes,Likely,Yes,Yes,No,Darth Vader
,Female,33,25-34,Independent,Disapprove,College degree,,White,,Disagree,50,,Yes,10,,Yes,1,Yes,0,Yes,Likely,No,Yes,No,Darth Vader
,Male,50,45-54,DK/REF,Approve,High school,,White,,Disagree,,DK/REF,Yes,4,,Yes,4,No,66,No,Likely,Yes,No,DK/REF,Donald Trump
,Male,47,45-54,Strong Republican,Approve,High school,,White,,DK/REF,10,,Yes,40,,Yes,80,No,80,No,Unlikely,Yes,Yes,No,Donald Trump
9000,Female,70,65+,DK/REF,Disapprove,Graduate degree,,Asian,,Disagree,2,,Yes,50,,Yes,70,Yes,90,No,Likely,No,No,DK/REF,DK/REF
,Male,53,45-54,Strong Republican,Approve,Graduate degree,,White,,DK/REF,,DK/REF,Yes,90,,Yes,100,No,100,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Male,26,25-34,Independent,Disapprove,High school,,White,,Disagree,80,,Yes,40,,Yes,40,Yes,70,Yes,Unlikely,No,Yes,No,Darth Vader
,Female,29,25-34,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,10,,No,50,,Yes,20,Yes,50,Yes,Likely,No,Yes,No,Darth Vader
,Female,24,18-24,Not Strong Democrat,Disapprove,College degree,,White,,Disagree,80,,Yes,90,,Yes,20,No,85,No,Likely,Yes,Yes,No,DK/REF
25000,Female,19,18-24,Strong Democrat,Disapprove,Some college,,Latino,,Disagree,30,,Yes,22,,Yes,18,Yes,40,No,Likely,No,No,No,DK/REF
97000,Female,44,35-44,Strong Democrat,Disapprove,College degree,,White,,Disagree,30,,Yes,85,,Yes,50,No,70,No,Unlikely,No,No,No,Darth Vader
21000,Male,20,18-24,Strong Democrat,Disapprove,Some college,,White,,Disagree,70,,Yes,90,,Yes,50,No,50,No,Unlikely,No,No,Yes,DK/REF
152000,Male,45,45-54,Not Strong Republican,Approve,Graduate degree,,White,,Disagree,10,,Yes,40,,No,60,No,80,Yes,Unlikely,Yes,Yes,Yes,Donald Trump
6000,Female,34,25-34,Independent,Disapprove,Some college,,White,,Disagree,38,,Yes,80,,Yes,70,Yes,40,No,Likely,Yes,No,DK/REF,Darth Vader
79000,Male,42,35-44,Independent,Approve,Some college,,White,,Disagree,10,,Yes,80,,Yes,60,No,80,No,Unlikely,No,Yes,No,Donald Trump
52000,Male,42,35-44,Strong Republican,Approve,High school,,White,,Agree,70,,Yes,60,,Yes,85,Yes,75,Yes,Likely,Yes,Yes,Yes,Donald Trump
58000,Male,48,45-54,Not Strong Republican,Approve,College degree,,White,,Disagree,60,,Yes,50,,Yes,50,No,60,Yes,Unlikely,Yes,No,No,Donald Trump
28000,Male,33,25-34,Strong Democrat,Disapprove,Some college,,White,,Disagree,80,,Yes,100,,Yes,50,Yes,40,No,Unlikely,Yes,Yes,No,Darth Vader
37000,Female,32,25-34,Not Strong Democrat,Disapprove,Some college,,Latino,,Disagree,100,,Yes,65,,Yes,0,Yes,80,Yes,Likely,No,No,DK/REF,Darth Vader
41000,Male,99,65+,DK/REF,Approve,College degree,,White,,Disagree,0,,Yes,100,,DK/REF,,No,0,No,Unlikely,Yes,Yes,No,Donald Trump
14000,Male,42,35-44,Not Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,40,,Yes,80,,Yes,30,No,30,No,Likely,No,Yes,No,Darth Vader
193000,Male,47,45-54,Independent,Approve,Graduate degree,,White,,Disagree,1,,Yes,60,,Yes,85,No,90,No,Unlikely,No,Yes,No,Donald Trump
89000,Female,42,35-44,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,5,,Yes,100,,Yes,50,No,0,No,Unlikely,No,Yes,DK/REF,Darth Vader
50000,Female,19,18-24,DK/REF,Approve,High school,,White,,DK/REF,,DK/REF,Yes,80,,Yes,20,Yes,50,No,Unlikely,No,No,DK/REF,Donald Trump
66000,Male,30,25-34,Strong Republican,Approve,College degree,,White,,Disagree,99,,Yes,2,,No,50,No,90,No,Unlikely,No,No,No,Donald Trump
55000,Male,43,35-44,Independent,Disapprove,Some college,,Latino,,Disagree,20,,Yes,,DK/REF,No,20,No,10,No,Unlikely,Yes,Yes,No,Darth Vader
42000,Male,75,65+,DK/REF,Disapprove,High school,,Latino,,Disagree,55,,Yes,100,,Yes,55,Yes,80,Yes,Likely,No,No,DK/REF,DK/REF
322000,Female,66,65+,Strong Democrat,Disapprove,Graduate degree,,Black,,Disagree,50,,Yes,90,,Yes,75,No,0,No,Unlikely,No,Yes,Yes,DK/REF
24000,Male,35,35-44,Strong Republican,Approve,College degree,,White,,Disagree,0,,Yes,100,,Yes,100,No,90,No,Unlikely,No,No,No,Donald Trump
50000,Male,44,35-44,Strong Democrat,Disapprove,College degree,,Latino,,Disagree,15,,Yes,85,,Yes,60,No,15,Yes,Unlikely,Yes,Yes,No,DK/REF
16000,Female,74,65+,Strong Democrat,Disapprove,High school,,Latino,,Disagree,0,,Yes,,DK/REF,Yes,50,No,70,No,Likely,No,No,Yes,Darth Vader
13000,Male,34,25-34,Independent,Disapprove,Graduate degree,,Black,,Disagree,46,,Yes,86,,Yes,63,No,17,No,Likely,No,Yes,No,Darth Vader
16000,Female,34,25-34,Independent,Disapprove,High school,,Latino,,Disagree,50,,Yes,80,,Yes,50,Yes,50,No,Likely,No,No,Yes,Darth Vader
118000,Female,34,25-34,Not Strong Democrat,Disapprove,Other,vocational college,Latino,,Disagree,25,,Yes,80,,Yes,70,No,50,No,Unlikely,No,No,Yes,Donald Trump
9000,Female,63,55-64,Strong Democrat,Disapprove,Graduate degree,,Black,,Disagree,60,,Yes,90,,Yes,20,No,40,No,Likely,No,Yes,DK/REF,DK/REF
53000,Female,47,45-54,Strong Republican,Approve,Some college,,Latino,,Disagree,0,,Yes,20,,No,70,No,70,No,Unlikely,No,Yes,No,Donald Trump
80000,Male,76,65+,Strong Republican,Approve,Some college,,White,,Disagree,10,,Yes,60,,No,20,No,30,No,Unlikely,No,Yes,No,Donald Trump
57000,Female,29,25-34,Strong Republican,Approve,Some college,,White,,Disagree,5,,Yes,10,,Yes,90,No,25,No,Unlikely,Yes,Yes,No,Donald Trump
91000,Female,37,35-44,Independent,DK/REF,Some college,,White,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,75,DK/REF,,No,DK/REF,No,No,DK/REF,DK/REF
107000,Female,47,45-54,Independent,Approve,Graduate degree,,White,,DK/REF,,DK/REF,Yes,50,,Yes,70,No,5,No,Unlikely,Yes,Yes,Yes,Donald Trump
190000,Male,44,35-44,Independent,Approve,College degree,,White,,Disagree,5,,Yes,50,,Yes,50,No,25,No,Unlikely,Yes,Yes,Yes,Donald Trump
33000,Male,72,65+,Independent,Disapprove,Graduate degree,,Black,,Disagree,5,,Yes,95,,Yes,30,No,50,No,Unlikely,Yes,No,DK/REF,Donald Trump
6000,Female,54,45-54,Strong Democrat,Disapprove,Some college,,Black,,Disagree,100,,Yes,100,,Yes,0,No,100,Yes,Likely,No,Yes,DK/REF,Darth Vader
32000,Other,42,35-44,Strong Republican,Approve,Graduate degree,,White,,DK/REF,,DK/REF,Yes,30,,No,,No,,No,Likely,DK/REF,Yes,Yes,Donald Trump
37000,Female,38,35-44,Independent,Disapprove,High school,,White,,DK/REF,80,,Yes,100,,Yes,50,No,10,No,Likely,No,No,No,Darth Vader
124000,Male,39,35-44,Independent,DK/REF,Some college,,Latino,,Disagree,60,,Yes,80,,Yes,40,No,40,No,Unlikely,Yes,Yes,No,Donald Trump
27000,Female,54,45-54,DK/REF,Disapprove,High school,,DK/REF,,DK/REF,30,,Yes,50,,Yes,99,Yes,50,No,Likely,No,No,Yes,Darth Vader
90000,Female,30,25-34,Independent,DK/REF,Graduate degree,,White,,DK/REF,,DK/REF,Yes,5,,Yes,70,No,50,Yes,Unlikely,Yes,Yes,No,Donald Trump
7000,Female,35,35-44,Independent,DK/REF,College degree,,White,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Likely,Yes,No,DK/REF,DK/REF
6000,Male,30,25-34,DK/REF,Approve,High school,,Latino,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Unlikely,Yes,Yes,Yes,Donald Trump
86000,Female,41,35-44,Strong Democrat,Disapprove,High school,,Black,,Disagree,80,,Yes,100,,Yes,0,No,10,No,Likely,No,No,Yes,Darth Vader
31000,Male,31,25-34,Strong Republican,Approve,College degree,,White,,Disagree,30,,Yes,90,,Yes,100,No,40,No,Unlikely,Yes,No,Yes,Donald Trump
49000,Male,18,18-24,Strong Republican,Approve,High school,,White,,Agree,65,,Yes,15,,Yes,70,No,80,No,Unlikely,No,No,No,Donald Trump
61000,Female,47,45-54,Strong Democrat,Disapprove,High school,,Latino,,DK/REF,70,,Yes,90,,Yes,50,No,60,No,Unlikely,No,No,No,DK/REF
90000,Female,45,45-54,Strong Republican,DK/REF,College degree,,White,,Disagree,,DK/REF,Yes,100,,Yes,95,No,3,No,Unlikely,No,Yes,DK/REF,Donald Trump
16000,Female,70,65+,Strong Democrat,Disapprove,Some college,,Black,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,No,50,No,Likely,No,Yes,Yes,Darth Vader
67000,Male,33,25-34,Independent,Approve,Other,Doctorate degree,White,,Disagree,,DK/REF,Yes,75,,Yes,,No,40,No,Unlikely,Yes,Yes,No,Donald Trump
47000,Male,65,65+,Independent,Disapprove,Graduate degree,,White,,Disagree,25,,Yes,60,,Yes,30,No,30,No,Unlikely,No,No,No,DK/REF
265000,Male,40,35-44,Strong Republican,Approve,College degree,,White,,Disagree,1,,Yes,50,,Yes,90,No,50,No,Unlikely,No,Yes,No,Donald Trump
119000,Male,40,35-44,Not Strong Republican,Approve,High school,,White,,DK/REF,0,,Yes,50,,No,75,No,50,No,Unlikely,No,No,No,Donald Trump
83000,Male,65,65+,Strong Republican,Approve,Graduate degree,,White,,Disagree,1,,Yes,75,,Yes,100,No,75,No,Unlikely,Yes,No,DK/REF,Donald Trump
5000,Male,53,45-54,Independent,Disapprove,High school,,Black,,Agree,90,,Yes,80,,Yes,,Yes,70,No,Likely,No,No,DK/REF,DK/REF
129000,Female,72,65+,Independent,Disapprove,High school,,White,,Disagree,50,,Yes,50,,Yes,50,No,50,Yes,Likely,Yes,Yes,Yes,Darth Vader
52000,Male,59,55-64,Strong Republican,Disapprove,Some college,,White,,Disagree,50,,Yes,50,,Yes,30,No,30,No,Likely,Yes,Yes,No,Darth Vader
25000,Female,50,45-54,DK/REF,DK/REF,College degree,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,DK/REF,,No,Unlikely,No,DK/REF,DK/REF,DK/REF
22000,Female,45,45-54,Strong Democrat,Disapprove,High school,,Black,,Disagree,,DK/REF,Yes,50,,Yes,50,No,40,No,Likely,No,Yes,Yes,Darth Vader
26000,Female,65,65+,Strong Democrat,Disapprove,High school,,Black,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,Yes,,No,Likely,No,No,DK/REF,DK/REF
47000,Female,70,65+,DK/REF,Disapprove,College degree,,White,,DK/REF,,DK/REF,Yes,,DK/REF,DK/REF,,No,,No,DK/REF,No,DK/REF,DK/REF,DK/REF
75000,Male,44,35-44,Not Strong Democrat,Disapprove,Graduate degree,,Asian,,Disagree,,DK/REF,Yes,99,,No,80,No,80,No,Unlikely,No,No,No,Darth Vader
,Male,43,35-44,Strong Republican,Approve,Graduate degree,,White,,Disagree,45,,Yes,100,,Yes,75,No,75,No,Unlikely,Yes,No,No,DK/REF
,Female,32,25-34,Independent,Approve,College degree,,White,,DK/REF,,DK/REF,Yes,100,,No,20,No,50,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Female,66,65+,Strong Democrat,Disapprove,Some college,,DK/REF,,DK/REF,30,,Yes,100,,Yes,50,No,10,No,Likely,Yes,Yes,No,Darth Vader
,Male,39,35-44,Independent,Approve,College degree,,White,,DK/REF,,DK/REF,Yes,75,,No,50,No,100,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Female,20,18-24,DK/REF,DK/REF,High school,,White,,DK/REF,,DK/REF,Yes,,DK/REF,DK/REF,,No,,No,DK/REF,DK/REF,No,DK/REF,DK/REF
,Male,18,18-24,DK/REF,DK/REF,High school,,Asian,,DK/REF,,DK/REF,Yes,80,,Yes,75,No,50,No,Unlikely,No,No,No,Darth Vader
,Male,29,25-34,DK/REF,Approve,Graduate degree,,Asian,,Disagree,,DK/REF,Yes,,DK/REF,Yes,30,No,5,No,Unlikely,No,No,Yes,Darth Vader
,Male,32,25-34,Independent,Disapprove,College degree,,Latino,,Disagree,50,,Yes,80,,Yes,75,No,50,Yes,Unlikely,No,No,DK/REF,Darth Vader
,Male,74,65+,Independent,Approve,Some college,,White,,Disagree,,DK/REF,Yes,40,,Yes,70,No,100,No,Unlikely,No,No,No,Donald Trump
,Male,56,55-64,Not Strong Republican,Approve,High school,,White,,Disagree,,DK/REF,Yes,100,,Yes,100,Yes,100,No,Unlikely,Yes,DK/REF,DK/REF,Donald Trump
,Female,46,45-54,Strong Republican,Approve,Some college,,White,,Agree,,DK/REF,Yes,,DK/REF,Yes,,DK/REF,,No,Likely,No,Yes,Yes,Donald Trump
,Male,30,25-34,Independent,Disapprove,Graduate degree,,White,,Disagree,10,,Yes,10,,Yes,60,Yes,60,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Female,69,65+,Not Strong Democrat,Disapprove,High school,,White,,Disagree,,DK/REF,Yes,90,,Yes,75,No,80,No,Unlikely,No,Yes,DK/REF,DK/REF
,Female,54,45-54,Independent,Approve,High school,,White,,Disagree,70,,Yes,30,,Yes,70,No,30,No,Unlikely,No,Yes,No,Donald Trump
,Male,32,25-34,Independent,Approve,College degree,,White,,Disagree,25,,Yes,90,,Yes,50,No,10,No,Unlikely,Yes,No,No,Donald Trump
52000,DK/REF,71,65+,Strong Democrat,Approve,College degree,,Black,,Agree,,DK/REF,Yes,70,,Yes,80,Yes,70,No,Likely,Yes,No,No,Darth Vader
,Male,44,35-44,Strong Democrat,DK/REF,Some college,,Black,,DK/REF,,DK/REF,Yes,95,,Yes,20,No,25,No,Likely,Yes,Yes,No,Donald Trump
