Income,Gender,Age,Age Range,Political Affiliation ,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,Q6OTH1,What is your race?,Q5OTH1,"From what you have heard or seen, do you mostly agree or mostly disagree with the beliefs of White Nationalists?","If you had to guess, what percentage of Republicans would say that they mostly agree with the beliefs of White Nationalists?",q8x,Would you say that you love America?,"If you had to guess, what percentage of Democrats would say that they love America?",q10x,Do you think that government policies should help those who are poor and struggling in America?,"If you had to guess, what percentage of Republicans would say yes to that question?",Do you think that most white people in America are racist?,"If you had to guess, what percentage of Democrats would say yes to that question?",Have you lost any friendships or other relationships as a result of the 2016 presidential election?,Do you think it is likely or unlikely that there will be a Civil War in the United States within the next decade?,Have you ever gone hunting?,Have you ever eaten a kale salad?,"If Dwayne ""The Rock"" Johnson ran for president as a candidate for your political party, would you vote for him?","Who would you prefer as president of the United States, Darth Vader or Donald Trump?"
,Male,51,45-54,Independent,Approve,Some college,,White,,Disagree,50,,Yes,50,,Yes,75,No,65,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Male,30,25-34,Strong Republican,Approve,High school,,White,,Agree,50,,Yes,25,,No,50,No,90,No,Unlikely,Yes,No,No,Donald Trump
,Female,20,18-24,Independent,Disapprove,High school,,Black,,Agree,0,,Yes,70,,Yes,20,No,45,No,Unlikely,No,No,Yes,Donald Trump
,Female,48,45-54,Independent,Approve,Some college,,White,,Disagree,30,,Yes,100,,Yes,100,No,30,No,Unlikely,Yes,No,No,Donald Trump
,Female,50,45-54,Strong Republican,Approve,College degree,,White,,Disagree,25,,Yes,50,,Yes,75,No,95,No,Unlikely,No,Yes,No,Donald Trump
,Male,49,45-54,Strong Republican,Approve,High school,,White,,Agree,,DK/REF,Yes,40,,Yes,50,No,70,Yes,Likely,Yes,No,No,Donald Trump
,Male,28,25-34,Independent,Approve,Some college,,White,,DK/REF,50,,Yes,90,,No,50,No,50,No,Unlikely,Yes,No,Yes,Donald Trump
,Female,53,45-54,Independent,Disapprove,High school,,Black,,Disagree,35,,Yes,55,,Yes,50,No,75,No,Likely,No,No,DK/REF,Darth Vader
,Male,19,18-24,Independent,Disapprove,High school,,Black,,Disagree,70,,Yes,50,,Yes,10,Yes,50,No,Likely,No,No,Yes,Darth Vader
,Female,57,55-64,Not Strong Democrat,Disapprove,College degree,,White,,Disagree,,DK/REF,Yes,100,,Yes,50,No,75,No,Likely,No,No,DK/REF,Darth Vader
,Male,24,18-24,Not Strong Republican,Approve,College degree,,White,,Disagree,30,,Yes,95,,Yes,45,No,60,No,Unlikely,No,Yes,No,Donald Trump
,Male,74,65+,Independent,Disapprove,Some college,,DK/REF,,Disagree,60,,Yes,50,,Yes,40,No,60,No,Unlikely,No,Yes,No,Darth Vader
,Female,62,55-64,Strong Democrat,Disapprove,Some college,,White,,Disagree,40,,Yes,98,,Yes,5,No,10,Yes,Unlikely,No,Yes,No,Darth Vader
255000,Female,40,35-44,DK/REF,Disapprove,College degree,,White,,Disagree,50,,Yes,,DK/REF,DK/REF,50,No,10,No,Unlikely,No,No,DK/REF,Donald Trump
31000,Female,50,45-54,Strong Republican,Approve,High school,,White,,Disagree,,DK/REF,Yes,50,,Yes,40,No,90,No,Likely,No,No,No,Donald Trump
30000,Male,58,55-64,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,20,,Yes,100,,Yes,50,No,20,No,Unlikely,No,Yes,Yes,Darth Vader
37000,Male,58,55-64,Not Strong Republican,Approve,Some college,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Unlikely,Yes,DK/REF,DK/REF,Donald Trump
18000,Female,27,25-34,DK/REF,Disapprove,High school,,White,,Agree,50,,No,70,,Yes,20,No,50,No,Likely,No,No,Yes,Donald Trump
39000,Female,47,45-54,Strong Democrat,Disapprove,College degree,,Black,,Disagree,55,,Yes,95,,Yes,50,No,40,No,Unlikely,No,Yes,DK/REF,Darth Vader
34000,Female,36,35-44,Independent,Disapprove,Some college,,White,,Disagree,40,,Yes,80,,Yes,10,No,25,No,Unlikely,No,Yes,No,Darth Vader
12000,Male,59,55-64,Independent,Disapprove,High school,,White,,Disagree,50,,Yes,90,,Yes,,No,5,No,DK/REF,Yes,Yes,No,DK/REF
173000,Male,40,35-44,Independent,Disapprove,College degree,,White,,Disagree,0,,Yes,90,,Yes,75,No,50,No,Unlikely,No,Yes,No,DK/REF
38000,Female,38,35-44,Not Strong Democrat,Disapprove,High school,,White,,Disagree,20,,Yes,100,,Yes,100,No,100,No,Likely,Yes,Yes,DK/REF,Donald Trump
67000,Male,35,35-44,Strong Republican,Approve,College degree,,White,,Disagree,20,,Yes,20,,Yes,100,No,80,No,Unlikely,No,No,No,Donald Trump
21000,Other,35,35-44,Independent,Disapprove,Some college,,White,,Disagree,60,,Yes,60,,No,20,No,80,No,Unlikely,No,Yes,DK/REF,Darth Vader
92000,Female,61,55-64,Independent,Approve,Some college,,White,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
248000,Female,48,45-54,Not Strong Democrat,Approve,College degree,,White,,Disagree,5,,Yes,90,,Yes,50,No,20,No,Unlikely,No,Yes,DK/REF,Donald Trump
95000,Female,40,35-44,DK/REF,DK/REF,College degree,,White,,DK/REF,,DK/REF,Yes,100,,DK/REF,,DK/REF,,No,DK/REF,No,No,DK/REF,DK/REF
31000,Female,44,35-44,Independent,Disapprove,Some college,,Black,,Disagree,80,,Yes,50,,Yes,30,No,50,No,Unlikely,No,No,No,DK/REF
21000,Male,37,35-44,Strong Republican,Approve,College degree,,White,,Disagree,10,,Yes,100,,No,50,No,10,Yes,Likely,Yes,No,No,Donald Trump
30000,Female,56,55-64,Independent,Disapprove,Graduate degree,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Likely,No,No,No,Darth Vader
109000,Female,68,65+,DK/REF,Disapprove,High school,,Black,,DK/REF,,DK/REF,Yes,,DK/REF,No,,DK/REF,,No,Likely,Yes,No,No,DK/REF
111000,Female,54,45-54,Strong Republican,Approve,Some college,,White,,DK/REF,70,,No,80,,No,20,No,30,Yes,Unlikely,Yes,Yes,No,Donald Trump
