"x","lower","upper"
41.8,0.429865815200212,0.519095022801858
42,0.431380788570681,0.520844504215047
42.2,0.432900346822494,0.522523194018097
42.4,0.434472771477389,0.524109811207687
42.6,0.436046350349046,0.52567291472545
42.8,0.437578829971845,0.527193149023176
43,0.439106051277706,0.528782209939377
43.2,0.440637705025972,0.530431847719456
43.4,0.442269690851686,0.532022356024014
43.6,0.443755690254682,0.533714041230735
43.8,0.445253845229082,0.535245956191211
44,0.446733137307137,0.536815051829383
44.2,0.448333247437839,0.538348232754997
44.4,0.449835052582547,0.539870521064485
44.6,0.451315031647052,0.541367607811976
44.8,0.452881482859038,0.542930036276728
45,0.454352335029481,0.54443138027445
45.2,0.455835582088635,0.545913913212218
45.4,0.457259153572084,0.54741607911945
45.6,0.458700330307196,0.548945031166633
45.8,0.460136257273739,0.550420077309525
46,0.46162332577419,0.551940681695894
46.2,0.463132382030512,0.55339441935205
46.4,0.464525042558523,0.554856980732947
46.6,0.465919099136106,0.556263025816007
46.8,0.46739901532231,0.557828785644707
47,0.46880393066045,0.559275293755643
47.2,0.470255788130829,0.5607117702958
47.4,0.471693948208557,0.562299767536067
47.6,0.473125607933341,0.563750522388653
47.8,0.4744734593163,0.565175947428668
48,0.475910764474916,0.566602882523927
48.2,0.477232997766977,0.567994706888694
48.4,0.478671941036925,0.569323513055904
48.6,0.480036016118717,0.570701448700753
48.8,0.48133667429849,0.572077546155376
49,0.482709090662811,0.573532145529289
49.2,0.483990411381593,0.574832882182265
49.4,0.485292063739706,0.576185654889536
49.6,0.486594584064707,0.577571440041472
49.8,0.488012941681123,0.578895752275779
50,0.48930991141589,0.580197136185162
50.2,0.49065938516097,0.581442156537812
50.4,0.492037490300172,0.58269127143706
50.6,0.493340066674574,0.584002231384757
50.8,0.494653308831408,0.585396605202743
51,0.495944879602535,0.586745985126282
51.2,0.49720844258119,0.587992772315374
51.4,0.49838915076121,0.58921631553468
51.6,0.499660497252951,0.59049184528045
51.8,0.500965331083082,0.591723436104637
52,0.502191405110185,0.59300725179876
52.2,0.503440632822918,0.594254257889588
52.4,0.504611191176731,0.595537615080183
52.6,0.505857404850441,0.596761751288984
52.8,0.507111947652391,0.598019401123791
53,0.508323061663122,0.599182242770289
53.2,0.509529361693713,0.600387620929552
53.4,0.510751076634306,0.601553774999546
53.6,0.512000636593157,0.602706019940015
53.8,0.513235839203592,0.603887546230145
54,0.514486558071799,0.605118518952965
54.2,0.5156241350981,0.606280251619024
54.4,0.516756058433669,0.607427958378942
54.6,0.517917126285949,0.608598067214882
54.8,0.519139412363929,0.609735167028649
55,0.520333572897643,0.61093596468728
55.2,0.521506281507196,0.612042007178309
55.4,0.52262817906844,0.613198212659124
55.6,0.523752301098784,0.614372944249471
55.8,0.52486375352656,0.615516844461264
56,0.526030520859839,0.616646795859696
56.2,0.527234249533265,0.61777218162591
56.4,0.528296593687373,0.618933731839659
56.6,0.529421081956529,0.620058044886779
56.8,0.530607767933027,0.621110215977171
57,0.531762820256515,0.62221098829311
57.2,0.532874050921922,0.623307192158764
57.4,0.533994684766846,0.624397876180591
57.6,0.535075680271549,0.625482602775543
57.8,0.536167843198936,0.626552585437048
58,0.537262067646073,0.627656736145258
58.2,0.538324431377001,0.628748563622105
58.4,0.539351725294369,0.629842598408137
58.6,0.540421538850815,0.630933275987164
58.8,0.541492827399897,0.632019068974044
59,0.542493937742169,0.633054120666791
59.2,0.54349433932895,0.634107671862948
59.4,0.544528707496558,0.635174833762736
59.6,0.545503379923483,0.636229708642318
59.8,0.54658873464924,0.637260041093469
60,0.547663351269238,0.638242817939534
60.2,0.5487219198732,0.639245991683682
60.4,0.549743441448878,0.640309293976388
60.6,0.550875107088063,0.641314845801833
60.8,0.551834500447593,0.6423188452162
61,0.552895883798262,0.643336862471571
61.2,0.553910261762069,0.644348656617119
61.4,0.554966150587081,0.645370816566168
61.6,0.556017247061523,0.646358593340888
61.8,0.557078786497577,0.647356555361639
62,0.558109484238207,0.648331526850532
62.2,0.55912014819948,0.649331658377666
62.4,0.560088991010769,0.650321963696574
62.6,0.561055546821063,0.651340445263986
62.8,0.562029622630183,0.652287558257897
63,0.56293918386905,0.65325437338113
63.2,0.563906475203282,0.654165621867321
63.4,0.564884019877103,0.655070861250253
63.6,0.565852668727304,0.656036462661407
63.8,0.566806038905287,0.65696954505417
64,0.567759837587223,0.657866657649201
64.2,0.568710443115592,0.658795900680503
64.4,0.569696492001678,0.659670287271241
64.6,0.570614393658857,0.660540137143899
64.8,0.571550180251542,0.661410843218082
65,0.572459149153575,0.662333161353523
65.2,0.573414016345528,0.663251907365512
65.4,0.574376995328182,0.664218251750587
65.6,0.5753180862599,0.665219821935825
65.8,0.576255168092928,0.666122714717893
66,0.577145190984323,0.666926460585562
66.2,0.578070288403877,0.667762648316808
66.4,0.579014358404353,0.66865968570376
66.6,0.579957043485659,0.669581785478142
66.8,0.58085399548139,0.670463342104689
67,0.581726900660579,0.671363000961395
67.2,0.582587451576484,0.672247197721763
67.4,0.583510155338739,0.673115175929879
67.6,0.584439776941071,0.674001726893893
67.8,0.585403641196456,0.674882685794731
68,0.586340847736462,0.675764909797806
68.2,0.587214245694232,0.676639661982136
